name,salary,currency,experience,location,skills,link,industry,source
Веб-аналитик / Web-аналитик / Аналитик данных,70000.0,RUB,0,Москва/ Россия,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/690df6a6f00abb62db0d4eb2,"СМИ, Медиа и индустрия развлечений",geekjob
Senior ML Engineer,500000.0,RUB,5,Лимассол,"Аналитика, Data Science, Big Data",https://geekjob.ru/vacancy/68b56714af19652a9608ccc8,ML/AI,geekjob
ML Infrastructure Engineer (C++/Python),300000.0,RUB,3-5,Dubai/ UAE,Информационные технологии,https://geekjob.ru/vacancy/69281cc77e810f753f04e123,ML/AI,geekjob
Machine Learning Engineer,80000.0,RUB,5,Нови-Сад/ Сербия,Информационные технологии,https://geekjob.ru/vacancy/690dcced12a31df3b60c7f65,Телекоммуникации,geekjob
Senior Data Engineer,500000.0,RUB,5,Лимассол,Информационные технологии,https://geekjob.ru/vacancy/691241c271deef8a620f95d7,Blockchain,geekjob
Data Engineer,500000.0,RUB,1-3,Кипр,Информационные технологии,https://geekjob.ru/vacancy/69395a9e33131676de011222,Data Analysis,geekjob
Data Architect,300000.0,RUB,0,Germany,Информационные технологии,https://geekjob.ru/vacancy/69258ed174ad72cdcb02098a,Заказная разработка,geekjob
,,,,,,https://geekjob.ru/vacancy/69209c1cb8b581921d0913bc,,geekjob
Системный аналитик/ System analyst,140000.0,RUB,1-3,Россия,Информационные технологии,https://geekjob.ru/vacancy/691b17699b304da6c008f585,Банковская и страховая сфера,geekjob
,,,,,,https://geekjob.ru/vacancy/6912e7e86dc514f3060ee3c2,,geekjob
Бизнес-аналитик,130000.0,RUB,3-5,Москва/ Россия,Управление продуктом и проектами,https://geekjob.ru/vacancy/6912f0b96dc514f3060ee423,Производство,geekjob
,,,,,,https://geekjob.ru/vacancy/6920732098dbfbc14d078072,,geekjob
,,,,,,https://geekjob.ru/vacancy/6932caf3a6c115c24c0111c3,,geekjob
