name,salary,currency,experience,location,link,skills
Бизнес-аналитик (блок производства 1С:ERP),260000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127515705,
"Аналитик данных (отдел продаж, фармацевтический дистрибьютор)",130000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127375448,"MS Excel, 1С, Power BI, Ценообразование, Аналитика продаж, Анализ данных, Работа с большим объемом информации, MS PowerPoint, Анализ рынка"
Бизнес-аналитик 1С,2200,BYN,1–3,Минск / Беларусь,https://hh.ru/vacancy/123691143,"Разработка инструкций, ERP-системы на базе 1С, Разработка технических заданий, 1С: Управление Торговлей, Удаленная работа, Обучение пользователей, 1С: Бухгалтерия, Постановка задач разработчикам, 1C: Предприятие, Написание технических заданий, ВПР, Первичное обследование, ERP, Автоматизация, 1С: Комплексная автоматизация, 1С: Управление предприятием, 1С: Документооборот, 1С программирование, Управление проектами, Консультирование, Сопровождение клиентов, Helpdesk, 1С: CRM ПРОФ, Внедрение ПО, Написание инструкций"
Бизнес-аналитик департамента по маркетингу и бизнес-процессам,150000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127565299,"Бизнес-анализ, Аналитическое мышление"
Аналитик сектора ведения баз данных характеристик объектов недвижимости,84257,RUB,0,Санкт-Петербург / Россия,https://hh.ru/vacancy/127913505,"Работа с базами данных, Работа с большим объемом информации"
Lead AI Engineer / Lead Разработчик (Интеграции + Data + AI-агент),200000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127989452,
Аналитик данных в службу внутреннего аудита,252432,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127327897,"Аналитическое мышление, Аналитика данных, Аудитор, Системный анализ, Работа с базами данных, Python, SQL, ETL"
Бизнес-аналитик в производственную компанию,160000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127352979,Английский — B1 — Средний
IT бизнес / cистемный аналитик,300000,KZT,1–3,Астана / Казахстан,https://hh.ru/vacancy/127530417,"Бизнес-анализ, UML, BPMN, Бизнес-планирование, Деловая коммуникация, Автоматизация процессов, Реинжиниринг бизнес-процессов, Планирование, Проведение тестирований, SQL, Моделирование бизнес процессов, Оптимизация бизнес-процессов, Системный анализ, Постановка задач разработчикам, Приемочное тестирование, Моделирование бизнес-процессов"
Бизнес-аналитик e-com| fintech,320000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127335568,"SQL, MS Excel, sfa, E-Commerce, ЮЛ"
Младший бизнес-аналитик (команда 1С),100000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127421613,
Кассир на АЗС ML010 Куркино,61000,RUB,0,Москва / Россия,https://hh.ru/vacancy/127642743,
Python разработчик (ML/LLM),250000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127427906,"Python, Computer Vision, Оптимизация кода, Английский — B1 — Средний"
"Бизнес аналитик по внедрению и поддержке WMS (SQL, FMCG)",180000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/127493896,
ML/DL/CV-инженер (Middle+),300000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/127478729,
Аналитик базы данных недвижимости,60000,RUB,0,Москва / Россия,https://hh.ru/vacancy/122563109,"Работа с базами данных, Клиентоориентированность, MS Excel, Подготовка презентаций, Анализ рынка, MS PowerPoint, Анализ данных, Базы данных, Аналитическое мышление, исходящие звонки, Деловая коммуникация, Ведение клиентской базы"
Бизнес/Системный аналитик,100000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127306326,"BPMN, Написание технических заданий, Сбор требований, Системное мышление, UML"
Главный кредитный аналитик среднего бизнеса,190000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/126978222,"Анализ ФХД, Отчетность, Анализ рисков"
Аналитик диагностических данных (разработчик),120000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127316147,
"Бизнес-аналитик в коммерческую дирекцию (Миддл, с перспективой роста до Сеньора)",250000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127540699,
